comp_name,comp_desc,widget_name,extra_html,sample_keywords,material_spec_link,dartdocs_link,img_link
Bottom navigation,Bottom navigation bars make it easy to explore and switch between top-level views in a single tap.,BottomNavigationBar,"",%22new+BottomNavigationBar%22,https://material.google.com/components/bottom-navigation.html,https://docs.flutter.io/flutter/material/BottomNavigationBar-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VWG5nei0wWXpoczA/components_bottom_navigation.png
Bottom sheets,Bottom sheets slide up from the bottom of the screen to reveal more content.,"",You can call <a href='https://docs.flutter.io/flutter/material/ScaffoldState/showBottomSheet.html'>showBottomSheet()</a> to implement a persistent bottom sheet or <a href='https://docs.flutter.io/flutter/material/showModalBottomSheet.html'>showModalBottomSheet()</a> to implement a modal bottom sheet.,showModalBottomSheet+OR+showBottomSheet,https://material.google.com/components/bottom-sheets.html,https://docs.flutter.io/flutter/material/ScaffoldState/showBottomSheet.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VVWZzZ1FIN09XWGc/components_bottom_sheets.png
Floating action button,A floating action button represents the primary action in an application.,FloatingActionButton,"",%22new+FloatingActionButton%22,https://material.google.com/components/buttons-floating-action-button.html,https://docs.flutter.io/flutter/material/FloatingActionButton-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VN20tOXJoUjVxQjg/components_buttons_fab.png
Raised button,A typically rectangular material button that lifts and displays ink reactions on press.,RaisedButton,"",%22new+RaisedButton%22,https://material.google.com/components/buttons.html#buttons-button-types,https://docs.flutter.io/flutter/material/RaisedButton-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VbDh6YmNiYVc3SHM/components_buttons_usage2.png
Flat button,A button made of ink that displays ink reactions on press but does not lift.,FlatButton,"",%22new+FlatButton%22,https://material.google.com/components/buttons.html#buttons-button-types,https://docs.flutter.io/flutter/material/FlatButton-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VNDg3V3ZjU2hsNGc/components_buttons_usage3.png
Cards,A card is a sheet of material that serves as an entry point to more detailed information.,Card,"",%22new+Card%22,https://material.google.com/components/cards.html,https://docs.flutter.io/flutter/material/Card-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VR0ptbC1RV1NLNlk/components_cards.png
Chips,Chips represent complex entities in small blocks such as a contact.,Chip,"",%22new+Chip%22,https://material.google.com/components/chips.html#,https://docs.flutter.io/flutter/material/Chip-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VM1VORGxxWUx5U0E/components_chips.png
Data tables,Data tables display sets of raw data. They usually appear in desktop enterprise products.,DataTable,"",%22new+DataTable%22,https://material.google.com/components/data-tables.html,https://docs.flutter.io/flutter/material/DataTable-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VWTJHMmJZdWZ5LU0/components_data_tables.png
Simple Dialog,Simple dialogs can provide additional details or actions about a list item. For example they can display avatars icons clarifying subtext or orthogonal actions (such as adding an account).,SimpleDialog,"",%22new+SimpleDialog%22,https://material.google.com/components/dialogs.html#dialogs-simple-dialogs,https://docs.flutter.io/flutter/material/SimpleDialog-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VVGNnN3NvMGdoQTg/components_dialogs.png
Alerts,Alerts are urgent interruptions requiring acknowledgement that inform the user about a situation.,AlertDialog,"",%22new+AlertDialog%22,https://material.google.com/components/dialogs.html#dialogs-alerts,https://docs.flutter.io/flutter/material/AlertDialog-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0Bzhp5Z4wHba3TzFHYVlrbWF2bnM/components_alerts_1.png
Dividers,A divider is a thin lightweight rule that groups content in lists and page layouts.,Divider,"",%22new+Divider%22,https://material.google.com/components/dividers.html#,https://docs.flutter.io/flutter/material/Divider-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VUVlmbHM1Q013RU0/components_dividers.png
Expansion panels,Expansion panels contain creation flows and allow lightweight editing of an element.,ExpansionPanel,"",%22new+ExpansionPanel%22,https://material.google.com/components/expansion-panels.html#,https://docs.flutter.io/flutter/material/ExpansionPanel-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VOXF3eEJ3azZMSjg/components_expansion_panels.png
Grid lists,A grid list consists of a repeated pattern of cells arrayed in a vertical and horizontal layout.,GridView,"",%22new+GridView%22,https://material.google.com/components/grid-lists.html#,https://docs.flutter.io/flutter/widgets/GridView-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VandQYXpNMG9aQUk/components_grid_lists.png
List tiles,A list tile consists of an icon and some text. List tiles are typically seen in lists or on cards.,ListTile,"",%22new+ListTile%22,https://material.google.com/components/lists.html#lists-content,https://docs.flutter.io/flutter/material/ListTile-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0Bx4BSt6jniD7UUw0bzVwU2lMUHc/components_lists_keylines_single10.png
Menus,Menus appear upon interaction with a button action or other control. They display a list of choices with one choice per line.,PopupMenuButton,"",%22new+PopupMenuButton%22,https://material.google.com/components/menus.html,https://docs.flutter.io/flutter/material/PopupMenuButton-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VakJ6a0F2MFJaaDQ/components_menus.png
Pickers,Date pickers use a dialog window to select a single date on mobile. Time pickers use a dialog to select a single time (in the hours:minutes format) on mobile.,"",You can call <a href='https://docs.flutter.io/flutter/material/showDatePicker.html'>showDatePicker()</a> and <a href='https://docs.flutter.io/flutter/material/showTimePicker.html'>showTimePicker()</a> to implement these two pickers.,showTimePicker+OR+showDatePicker,https://material.google.com/components/pickers.html,https://docs.flutter.io/flutter/material/showDatePicker.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VY2h4WElGdEhPb2c/components_pickers.png
Progress & activity,Progress and activity indicators are visual indications of an app loading content.,LinearProgressIndicator,In addition you may also use the <a href='https://docs.flutter.io/flutter/material/CircularProgressIndicator-class.html'>CircularProgressIndicator</a> widget.,%22new+LinearProgressIndicator%22,https://material.google.com/components/progress-activity.html,https://docs.flutter.io/flutter/material/LinearProgressIndicator-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VWkJiRjRLbzRNS3M/components_progress_and_activity.png
Checkbox,Checkboxes allow the user to select multiple options from a set.,Checkbox,"",%22new+Checkbox%22,https://material.google.com/components/selection-controls.html#,https://docs.flutter.io/flutter/material/Checkbox-class.html,https://storage.googleapis.com/material-design/publish/material_v_9/0Bx4BSt6jniD7T2xGbGo0cUlPVG8/components_switches_check1.png
Radio button,Radio buttons allow the user to select one option from a set. Use radio buttons for exclusive selection if you think that the user needs to see all available options side-by-side.,Radio,"",%22new+Radio%22,https://material.google.com/components/selection-controls.html#selection-controls-radio-button,https://docs.flutter.io/flutter/material/Radio-class.html,https://storage.googleapis.com/material-design/publish/material_v_9/0Bx4BSt6jniD7Z1NaaXh2ZkpDRkE/components_switches_radio1.png
Switch,On/off switches toggle the state of a single settings option.,Switch,"",%22new+Switch%22,https://material.google.com/components/selection-controls.html#selection-controls-switch,https://docs.flutter.io/flutter/material/Switch-class.html,https://storage.googleapis.com/material-design/publish/material_v_9/0Bx4BSt6jniD7NDg4aGIzVXYxVEE/components_switches_switch1.png
Sliders,Sliders let users select from a range of values by moving the slider thumb.,Slider,"",%22new+Slider%22,https://material.google.com/components/sliders.html,https://docs.flutter.io/flutter/material/Slider-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VTmJrQUYzajFIclE/components_sliders.png
Snackbars,Snackbars provide brief feedback about an operation through a message at the bottom of the screen.,SnackBar,"",showSnackBar,https://material.google.com/components/snackbars-toasts.html,https://docs.flutter.io/flutter/material/SnackBar-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VSjZkendtc19iZ2M/components_snackbars.png
Steppers,Steppers convey progress through numbered steps.,Stepper,"",%22new+Stepper%22,https://material.google.com/components/steppers.html,https://docs.flutter.io/flutter/material/Stepper-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VTndyUnNCR2tQREE/components_steppers.png
Tabs,Tabs make it easy to explore and switch between different views.,TabBar,"",%22new+TabBar%22,https://material.google.com/components/tabs.html,https://docs.flutter.io/flutter/material/TabBar-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VaWdBdnhMT3ViXzQ/components_tabs.png
Input,Touching a text field places the cursor and displays the keyboard.,Input,"",%22new+Input%22,https://material.google.com/components/text-fields.html#text-fields-input,https://docs.flutter.io/flutter/material/Input-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VbURLNTM0N0R6eUE/components_text_fields.png
Toolbars,Toolbar actions appear above the view affected by their actions.,AppBar,"",%22new+AppBar%22,https://material.google.com/components/toolbars.html#,https://docs.flutter.io/flutter/material/AppBar-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VclpfSFpuelBGR1k/components_toolbars.png
Tooltips,Tooltips are text labels that appear when the user hovers over focuses on or touches an element.,Tooltip,"",%22new+Tooltip%22,https://material.google.com/components/tooltips.html,https://docs.flutter.io/flutter/material/Tooltip-class.html,https://material-design.storage.googleapis.com/publish/material_v_9/0B7WCemMG6e0VZ1JKMzJFcmhOWkk/components_tooltips.png
