section,comp_name,comp_desc,sample_keywords,dartdocs_link,image
basic,Container,"A multi-purpose widget which can apply padding to its child, draw decorations (e.g. borders or shadows) around the padding, and whose width and height can be set.",%22new+Container%22,https://docs.flutter.io/flutter/widgets/Container-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-container-1' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#f50057'/></marker><marker id='arrow-container-2' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#ffffff'/></marker><filter id='shadow-container' x='-50%' y='-50%' width='200%' height='200%'><feGaussianBlur stdDeviation='4'/></filter><linearGradient id='gradient-container' x1='0' y1='0.2' x2='0.4' y2='0.9'><stop offset='55%' stop-color='#ffffff'/><stop offset='100%' stop-color='#fdccdd'/></linearGradient></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='15' y='25' width='70' height='47.5' rx='10' ry='10' fill='#000000' filter='url(#shadow-container)'/><rect x='15' y='25' width='70' height='47.5' rx='10' ry='10' fill='url(#gradient-container)' stroke-width='5' stroke='#3b75ad'/><rect x='30' y='40' width='40' height='30' fill='#4dd0e1'/><line x1='20' y1='55' x2='27' y2='55' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-container-1)' marker-end='url(#arrow-container-1)'/><line x1='73' y1='55' x2='80' y2='55' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-container-1)' marker-end='url(#arrow-container-1)'/><line x1='50' y1='30' x2='50' y2='37' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-container-1)' marker-end='url(#arrow-container-1)'/><line x1='50' y1='78' x2='50' y2='82' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-container-1)' marker-end='url(#arrow-container-1)'/><line x1='16' y1='17.5' x2='85' y2='17.5' stroke='#ffffff' stroke-width='2' marker-start='url(#arrow-container-2)' marker-end='url(#arrow-container-2)'/><line x1='7.5' y1='26' x2='7.5' y2='72' stroke='#ffffff' stroke-width='2' marker-start='url(#arrow-container-2)' marker-end='url(#arrow-container-2)'/></svg>"
basic,Text,"A run of text with a single style.",%22new+Text%22,https://docs.flutter.io/flutter/widgets/Text-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='20' y='30' width='60' height='40' fill='#ffffff'/><text x='50' y='60' text-anchor='middle' font-family='Roboto' font-size='25' fill='#3b75ad'>Abc</text></svg>"
basic,Image,"A widget that displays an image.",%22new+Image%22,https://docs.flutter.io/flutter/widgets/Image-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='20' y='20' width='60' height='60' fill='#ffffff'/><image x='22.5' y='22.5' width='55' height='55' xlink:href='../images/owl.jpg'/></svg>"
layout,Row,"Layout a list of child widgets in the horizontal direction.",%22new+Row%22,https://docs.flutter.io/flutter/widgets/Row-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='30' width='80' height='40' fill='#ffffff'/><rect x='15' y='40' width='20' height='20' fill='#4dd0e1'/><rect x='40' y='35' width='30' height='30' fill='#4dd0e1'/></svg>"
layout,Column,"Layout a list of child widgets in the vertical direction.",%22new+Column%22,https://docs.flutter.io/flutter/widgets/Column-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='40' height='80' fill='#ffffff'/><rect x='40' y='15' width='20' height='20' fill='#4dd0e1'/><rect x='35' y='40' width='30' height='30' fill='#4dd0e1'/></svg>"
layout,Expanded,"Configures a child of a <a href='https://docs.flutter.io/flutter/widgets/Row-class.html'>Row</a> or <a href='https://docs.flutter.io/flutter/widgets/Column-class.html'>Column</a> to make it expand to fit the container.",%22new+Expanded%22,https://docs.flutter.io/flutter/widgets/Expanded-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-flexible' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#ffffff'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='30' width='80' height='40' fill='#c8c8c8'/><rect x='15' y='40' width='20' height='20' fill='#eeeeee'/><rect x='40' y='35' width='45' height='30' fill='#4dd0e1'/><line x1='43' y1='50' x2='82' y2='50' stroke='#ffffff' stroke-width='2' marker-start='url(#arrow-flexible)' marker-end='url(#arrow-flexible)'/></svg>"
layout,Stack,"Layout a list of child widgets on top of each other from back to front.",%22new+Stack%22,https://docs.flutter.io/flutter/widgets/Stack-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='10' width='80' height='80' fill='#ffffff'/><rect x='25' y='25' width='40' height='30' fill='#3b75ad'/><rect x='45' y='35' width='30' height='30' fill='#4dd0e1'/><rect x='40' y='50' width='10' height='10' fill='#f50057'/></svg>"
layout,Positioned,"Configures the position and size of a child of a <a href='https://docs.flutter.io/flutter/widgets/Stack-class.html'>Stack</a>.",%22new+Positioned%22,https://docs.flutter.io/flutter/widgets/Positioned-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-positioned' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#f50057'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='10' width='80' height='80' fill='#c8c8c8'/><rect x='25' y='25' width='40' height='30' fill='#eeeeee'/><rect x='45' y='35' width='30' height='30' fill='#eeeeee'/><rect x='40' y='50' width='10' height='10' fill='#4dd0e1'/><line x1='10' y1='55' x2='37' y2='55' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-positioned)'/><line x1='90' y1='55' x2='53' y2='55' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-positioned)'/><line x1='45' y1='10' x2='45' y2='47' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-positioned)'/><line x1='45' y1='90' x2='45' y2='63' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-positioned)'/></svg>"
layout,Block,"Arranges children one after the other, and scrolls if necessary. Not as efficient as <a href='https://docs.flutter.io/flutter/widgets/LazyBlock-class.html'>LazyBlock</a> or <a href='https://docs.flutter.io/flutter/widgets/ScrollableList-class.html'>ScrollableList</a>.",%22new+Block%22,https://docs.flutter.io/flutter/widgets/Block-class.html,"<svg viewBox='0 0 100 100'><filter id='inset-shadow-block' x='-50%' y='-50%' width='200%' height='200%'><feComponentTransfer in='SourceAlpha'><feFuncA type='table' tableValues='1 0' /></feComponentTransfer><feGaussianBlur stdDeviation='2' result='Blur'/><feFlood flood-color='#666666' result='color'/><feComposite in2='Blur' operator='in'/><feComposite in2='SourceAlpha' operator='in' /><feMerge><feMergeNode /></feMerge></filter><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='40' height='80' fill='#ffffff'/><rect x='35' y='10' width='30' height='15' fill='#4dd0e1'/><rect x='35' y='30' width='30' height='20' fill='#4dd0e1'/><rect x='35' y='55' width='30' height='5' fill='#4dd0e1'/><rect x='35' y='65' width='30' height='15' fill='#4dd0e1'/><rect x='35' y='85' width='30' height='5' fill='#4dd0e1'/><rect x='30' y='10' width='40' height='80' fill='#ffffff' filter='url(#inset-shadow-block)'/></svg>"
layout,LazyBlock,"Arranges children one after the other, and scrolls if necessary. More efficient than <a href='https://docs.flutter.io/flutter/widgets/Block-class.html'>Block</a>. Not as efficient as <a href='https://docs.flutter.io/flutter/widgets/ScrollableLazyList-class.html'>ScrollableLazyList</a>.",%22new+LazyBlock%22,https://docs.flutter.io/flutter/widgets/LazyBlock-class.html,"<svg viewBox='0 0 100 100'><filter id='inset-shadow-lazy-block' x='-50%' y='-50%' width='200%' height='200%'><feComponentTransfer in='SourceAlpha'><feFuncA type='table' tableValues='1 0' /></feComponentTransfer><feGaussianBlur stdDeviation='2' result='Blur'/><feFlood flood-color='#666666' result='color'/><feComposite in2='Blur' operator='in'/><feComposite in2='SourceAlpha' operator='in' /><feMerge><feMergeNode /></feMerge></filter><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='40' height='80' fill='#ffffff'/><rect x='35' y='10' width='30' height='15' fill='#4dd0e1'/><rect x='35' y='30' width='30' height='20' fill='#4dd0e1'/><rect x='35' y='55' width='30' height='5' fill='#4dd0e1'/><rect x='35' y='65' width='30' height='15' fill='#4dd0e1'/><rect x='35' y='85' width='30' height='5' fill='#4dd0e1'/><rect x='30' y='10' width='40' height='80' fill='#ffffff' filter='url(#inset-shadow-lazy-block)'/><text x='95' y='95' text-anchor='end' font-family='Roboto' font-size='25' fill='#ffffff'>&lambda; </text></svg>"
